,device_id,repeat
379,hqwjo-4lotu-cjebv-qfcc5-th45z,1
380,vc98l-ixszv-na3w0-crt4u-sse56,1
381,1ghtf-zujo4-eqmdn-n280s-q0glk,1
382,f2a0j-chtq4-ijter-qph4r-8h9u3,1
383,rjou8-9nf2q-v8j2w-bkn9e-72j7o,1
384,ock6h-t3df8-ea7c0-m92to-pm82a,1
385,ffrkv-vqyt5-kac5t-thxr1-ylim4,1
386,mkthj-qt6cy-bt36r-fq01b-rdb3n,1
387,ffvvl-5ziro-e8ni0-3s3h7-074p5,1
388,qicdv-xnu5g-yxl50-4yrhc-0qjco,1
389,t6zc8-oalvy-v4pvl-0pj89-yq7g7,1
390,p1smk-hoelk-ydhoc-igmpi-ihz95,1
391,ss7j4-c72y1-wdwzt-efoog-tqm02,1
392,qavff-k128a-fwrur-4o0cb-wqyiy,1
393,de1m3-5842y-vva83-1qhif-ajv2n,1
394,0hgqs-sk3t1-nsydb-kba56-de3dq,1
395,n7zxf-076az-vqkkm-smd06-u3uhp,1
396,l4cmh-bvhiy-1dqbc-85yhd-ytpcs,1
397,3eg8x-ghe5x-tq07p-17ep5-dkbv4,1
398,ta6so-zsi7s-lu41b-c1tl7-smpis,1
399,sfwcw-2lwtb-3rzq7-i4ka2-h85m4,1
400,g3k9m-d3ty4-914s3-26csz-gfgw8,1
401,y9edm-ekikt-x3avj-9cyky-pqhg5,1
402,aruzm-d5mg5-6mgmx-123et-0glg5,1
403,yw127-rfo40-cpnhw-urscs-q3lta,1
404,bqjzo-erwf3-zqd1w-4l227-n7kmn,1
405,paaem-h3uq2-lae1i-vkely-qfabz,1
406,nbx4l-v2r7o-t4p15-6b5fo-vu2t1,1
407,nm0yq-uxxid-zq2db-nsk3d-qdr4j,1
408,7rgfx-a6v2l-nw49u-rd3yi-ahmj2,1
409,jdsh1-ixqty-5tv3w-0s6xu-pcbrd,1
410,et9dc-yg32o-j46a0-1s9xw-2sp1g,1
411,40cbm-74o18-jskcg-pgtqe-7gvmr,1
412,cs8c1-ki4gb-6xqwv-bhp7o-x1rlk,1
413,7yiat-ttcol-3ss51-8wk2f-uatwz,1
414,y2pqb-hpwqb-qok0l-a4k1l-e78k5,1
415,stjbe-8fhfs-pp2us-5w4i3-0qtbi,1
416,agna2-omiln-63hur-5jhsc-ccycd,1
417,a57re-7vk9b-qzmi8-trg3q-n8plw,1
418,32fjn-b27m4-26ki2-rly5v-g6i3d,1
419,mwjjg-3ek28-l86ph-jyup4-2km92,1
420,x9wpu-ymyhd-chi7p-u499t-wmxrb,1
421,fb1ks-0o2r6-0eh32-1izfk-37dfo,1
422,gqork-2xec2-wjjnv-7m92o-nkfz0,1
423,lsktc-1aplc-61srg-kohdx-o9hh8,1
424,8msd9-ku7oi-8rk16-y9jy4-8e09q,1
425,59sgx-y4pgw-spt4m-sredx-i40g7,1
426,x6j9h-ybf9u-sp9y8-xey5r-0i2rw,1
427,x7io2-a8pap-td7pd-96xgx-a8w2p,1
428,iftyb-tcemu-p8cla-htiyw-f8jmq,1
429,1c7n7-cgq36-nqot8-899hv-sn272,1
430,syyqw-oy82g-e8494-d1yzc-oqv8e,1
431,2qvjp-5ynsb-6b93o-gcnzh-84lwi,1
432,plukq-qaycs-6cmr2-zvpqk-s1q88,1
433,3a85h-hcecn-cy2a9-kw4yw-z8bd2,1
434,cogye-eqfr9-btbja-xyqqn-xhoit,1
435,pxkpu-sygee-4462z-254cr-1wdm5,1
436,fnq1t-w6157-tt20z-wrvfl-isn3f,1
437,o7g4n-udksp-hyr1h-buza2-bp8jv,1
438,fj5ht-e2nm3-1r4f9-0j3nr-zbxbm,1
439,jep0e-jeng6-l0n83-ao31h-9ikzz,1
440,7bpq2-740f1-573r6-pv5ob-0d74j,1
441,n8jzb-4wpss-ene3x-xc8p3-yptrk,1
442,i7mgt-f5xhs-y2zhd-1lfzm-huo2a,1
443,g2zmj-bmhb4-lj3rp-5pvvz-3z969,1
444,fluim-bzstu-stxo3-3jjnf-ucvx5,1
445,fh31i-krtsd-u3x9m-yu3zk-cz4x2,1
446,22vl9-t6w5t-e212q-w9zxj-870zh,1
447,74yd5-8gnxa-zngj4-7z8dq-d15u4,1
448,ulzqi-pruej-8b1w6-t605u-2a481,1
449,0yroq-3dxj8-irutq-548vm-94a9y,1
450,cvqlj-t6sx3-pexs0-94ubn-57h5z,1
451,1j7vy-bgzr6-821mp-p5m7p-n4z5a,1
452,sog6z-9amw1-whytc-8bq1r-by3p9,1
453,a46on-owgwt-2bec2-1of47-rx3s1,1
454,3vvfl-rbjty-vkhrh-x8dpv-zqkpo,1
455,v73gn-eq81u-z4hb8-qtmmf-7y2yf,1
456,j0ddf-2yhme-zf1yy-yyl6m-rw4xo,1
457,cldu2-nd10j-iaihi-nsani-y5u7n,1
