user_id,order_id,order_date,booking_date,order_status,dport,aport,dport_city,aport_city,dcity_code,acity_code,flight_time,flight_number,flight_date,flight_num_date
M4273326534,D00001002,2022/1/24 14:40,2022/1/24 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M283793408,D00001075,2022/1/26 0:52,2022/1/26 0:00,R,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M4920700180,D00001054,2022/1/25 15:04,2022/1/25 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M2554693072,D00000874,2022/1/20 19:00,2022/1/20 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M438650260,D00000704,2022/1/16 22:38,2022/1/16 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M2370308369,D00000987,2022/1/24 9:29,2022/1/24 0:00,R,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M3016722658,D00001044,2022/1/25 12:30,2022/1/25 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M3138813564,D00001086,2022/1/26 11:09,2022/1/26 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M4672506095,D00000459,2022/1/11 16:27,2022/1/11 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M4890436636,D00000830,2022/1/19 15:07,2022/1/19 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M344901542,D00000592,2022/1/14 15:43,2022/1/14 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M2818158563,D00001053,2022/1/25 15:00,2022/1/25 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M351278691,D00000299,2022/1/7 20:03,2022/1/7 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M113129343,D00001076,2022/1/26 1:33,2022/1/26 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M609978600,D00001069,2022/1/25 21:46,2022/1/25 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M119555704,D00000009,2021/12/27 13:38,2021/12/27 0:00,R,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M4699781445,D00001040,2022/1/25 11:23,2022/1/25 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M495607324,D00001033,2022/1/25 10:28,2022/1/25 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M441848878,D00000386,2022/1/10 8:49,2022/1/10 0:00,R,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M3020476778,D00000788,2022/1/18 19:36,2022/1/18 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M3457075476,D00000813,2022/1/19 10:30,2022/1/19 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M2542539977,D00001052,2022/1/25 14:32,2022/1/25 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M288738884,D00000573,2022/1/14 11:00,2022/1/14 0:00,R,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M186385836,D00000832,2022/1/19 17:37,2022/1/19 0:00,S,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M410860566,D00000826,2022/1/19 14:03,2022/1/19 0:00,R,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M512188002,D00000951,2022/1/22 22:04,2022/1/22 0:00,T,NBS,PVG,白山,上海,NBS,SHA,2022/1/26 20:20,HO2036,2022/1/26,HO2036_2022-01-26
M208968199,D00000224,2022/1/6 5:47,2022/1/6 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M4472730892,D00000980,2022/1/23 20:22,2022/1/23 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M169634040,D00000177,2022/1/5 8:11,2022/1/5 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3912738803,D00001071,2022/1/25 22:28,2022/1/25 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2682263250,D00000687,2022/1/16 16:37,2022/1/16 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2216692994,D00000692,2022/1/16 17:38,2022/1/16 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M529442230,D00000906,2022/1/21 18:36,2022/1/21 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M558552046,D00000790,2022/1/18 20:04,2022/1/18 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2216611129,D00001039,2022/1/25 11:23,2022/1/25 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2208569841,D00001113,2022/1/26 20:44,2022/1/26 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3825768316,D00000492,2022/1/12 9:45,2022/1/12 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M370509752,D00000427,2022/1/10 22:19,2022/1/10 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2200531811,D00000811,2022/1/19 10:29,2022/1/19 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2995670860,D00000967,2022/1/23 13:37,2022/1/23 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2548451315,D00000926,2022/1/22 10:10,2022/1/22 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2536499060,D00000986,2022/1/24 9:27,2022/1/24 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3709267013,D00001110,2022/1/26 20:06,2022/1/26 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M132995900,D00001102,2022/1/26 18:09,2022/1/26 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M538569732,D00000136,2022/1/4 10:45,2022/1/4 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3847900672,D00000333,2022/1/8 18:14,2022/1/8 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M387663994,D00000898,2022/1/21 14:19,2022/1/21 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2452510223,D00000614,2022/1/14 20:28,2022/1/14 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3037584278,D00000425,2022/1/10 21:44,2022/1/10 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M4992806135,D00000873,2022/1/20 18:56,2022/1/20 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M4494391659,D00000955,2022/1/23 0:43,2022/1/23 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M281147748,D00000929,2022/1/22 12:19,2022/1/22 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M569145815,D00001030,2022/1/25 9:53,2022/1/25 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M151970963,D00001058,2022/1/25 16:26,2022/1/25 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M4303121248,D00001073,2022/1/25 23:15,2022/1/25 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2422881260,D00000763,2022/1/18 12:00,2022/1/18 0:00,T,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2475961647,D00000716,2022/1/17 10:44,2022/1/17 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3396794109,D00000988,2022/1/24 9:43,2022/1/24 0:00,T,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2760983967,D00001015,2022/1/24 18:52,2022/1/24 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2733406253,D00001026,2022/1/25 8:35,2022/1/25 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M526132666,D00000581,2022/1/14 12:55,2022/1/14 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2546348243,D00000978,2022/1/23 19:46,2022/1/23 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2791593332,D00000495,2022/1/12 10:57,2022/1/12 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M57852052,D00000563,2022/1/13 21:13,2022/1/13 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M475969810,D00001078,2022/1/26 7:35,2022/1/26 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M299060802,D00000409,2022/1/10 14:36,2022/1/10 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2787463547,D00001061,2022/1/25 18:21,2022/1/25 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M402587210,D00000686,2022/1/16 16:17,2022/1/16 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M337594056,D00001085,2022/1/26 11:05,2022/1/26 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M2238080842,D00000002,2021/12/4 21:37,2021/12/4 0:00,R,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3271276861,D00001001,2022/1/24 14:30,2022/1/24 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
M3037584278,D00000985,2022/1/24 1:29,2022/1/24 0:00,S,TAO,YNJ,青岛,延吉,TAO,YNJ,2022/1/29 10:15,MU5671,2022/1/29,MU5671_2022-01-29
